model,ram_gb,storage_gb,color,battery_health_pct,price_egp,warranty
iPhone 8,2,128,Space Gray,82,5800,No
iPhone XR,3,64,White,94,8700,No
iPhone 17,8,512,Sage,90,63400,No
iPhone 8 Plus,3,64,Red,100,6300,No
iPhone 12 Pro,6,256,Graphite,79,22200,No
iPhone 14 Pro Max,6,128,Deep Purple,90,42800,Yes
iPhone 8 Plus,3,128,Space Gray,79,3400,Unknown
iPhone 6s,2,32,Rose Gold,87,1500,Unknown
iPhone 8 Plus,3,256,Silver,88,13600,Unknown
iPhone 12,4,64,Black,77,10300,Unknown
iPhone 13 Pro,6,1024,Graphite,87,45100,No
iPhone 7 Plus,3,256,Gold,77,6300,No
iPhone 13 Pro,6,128,Gold,93,24300,Unknown
iPhone 11 Pro,4,64,Space Gray,88,8900,Unknown
iPhone 13 Pro Max,6,256,Alpine Green,79,37200,No
iPhone 14 Plus,6,512,Blue,83,37700,No
iPhone 7,2,128,Black,89,6100,No
iPhone 17 Pro,12,256,Deep Blue,91,69800,Yes
iPhone 6s,2,32,Rose Gold,89,2600,No
iPhone 6s Plus,2,16,Silver,100,6600,No
iPhone 12,4,64,White,97,11500,No
iPhone 11,4,256,Black,78,14900,No
iPhone 8 Plus,3,128,Space Gray,76,6100,Yes
iPhone 12 mini,4,256,Red,89,19500,No
iPhone 5,1,64,White,78,1500,No
iPhone 13 mini,4,256,Red,94,19900,Unknown
iPhone 6,1,64,Silver,74,1500,Unknown
iPhone 16e,8,128,Black,94,40300,Yes
iPhone 14 Pro,6,128,Gold,97,31700,No
iPhone 5s,1,64,Gold,98,5900,No
iPhone 17 Pro,12,1024,Cosmic Orange,89,80600,No
iPhone 13 Pro,6,128,Alpine Green,90,24200,Unknown
iPhone 12 mini,4,256,Red,100,21700,Unknown
iPhone XR,3,128,Black,86,8100,No
iPhone 8,2,256,Space Gray,86,11900,No
iPhone 12 Pro,6,512,Graphite,80,30400,Yes
iPhone XS Max,4,64,Space Gray,80,10300,No
iPhone 6s,2,16,Rose Gold,96,7600,Unknown
iPhone 12 Pro,6,256,Silver,100,29200,Yes
iPhone 8,2,128,Red,72,1500,Unknown
iPhone 15 Plus,6,128,Blue,93,41800,Yes
iPhone 11 Pro Max,4,256,Space Gray,83,18800,Unknown
iPhone 12 Pro Max,6,512,Pacific Blue,74,32700,Yes
iPhone 7 Plus,3,128,Silver,91,3700,Yes
iPhone 17 Pro Max,12,1024,Cosmic Orange,85,91900,Yes
iPhone 17 Pro Max,12,512,Cosmic Orange,84,81900,No
iPhone 6s Plus,2,32,Space Gray,96,8900,Yes
iPhone 13 Pro,6,512,Sierra Blue,88,34600,No
iPhone Air,12,1024,Cloud White,70,63100,Yes
iPhone 14,6,128,Red,81,27200,Unknown
iPhone 6s,2,16,Silver,94,4300,No
iPhone 8,2,64,Gold,98,5700,No
iPhone 13 Pro Max,6,256,Alpine Green,72,37200,No
iPhone 12,4,64,White,86,10300,No
iPhone 15 Pro Max,8,1024,Black Titanium,91,73900,No
iPhone 12 Pro,6,256,Pacific Blue,84,20400,Yes
iPhone 11 Pro,4,64,Space Gray,90,13200,No
iPhone 12 Pro Max,6,512,Pacific Blue,84,30900,No
iPhone 12 mini,4,64,Blue,96,12400,Yes
iPhone 15 Pro,8,256,White Titanium,90,53100,No
iPhone 17e,8,256,Black,97,50300,Unknown
iPhone 6s,2,64,Rose Gold,78,1500,No
iPhone 15 Pro,8,1024,White Titanium,99,61300,Yes
iPhone 12 Pro Max,6,128,Gold,85,18900,No
iPhone 16e,8,256,Black,85,39200,No
iPhone 6s Plus,2,64,Space Gray,93,4200,No
iPhone 6s,2,32,Silver,98,3700,No
iPhone 17 Pro Max,12,512,Cosmic Orange,87,81700,No
iPhone 13,4,128,Pink,84,14600,Yes
iPhone 17 Pro,12,256,Deep Blue,80,69900,Yes
iPhone 16,8,512,Black,78,48900,No
iPhone 13,4,256,Pink,88,31900,No
iPhone 15 Plus,6,256,Black,90,44800,Unknown
iPhone 13,4,128,Blue,79,19400,No
iPhone 17 Pro,12,512,Cosmic Orange,94,75800,No
iPhone 8,2,128,Space Gray,83,6200,No
iPhone Air,12,1024,Light Gold,85,70600,No
iPhone 11,4,64,Green,100,17400,No
iPhone 14 Pro Max,6,1024,Silver,100,64400,Unknown
iPhone 8,2,256,Space Gray,84,13000,Yes
iPhone 11,4,256,Black,80,16700,Yes
iPhone 17e,8,256,White,86,47000,Yes
iPhone 16 Plus,8,128,Pink,78,45100,Unknown
iPhone 12 mini,4,256,White,100,17200,No
iPhone 12 Pro Max,6,128,Gold,89,22900,No
iPhone 14 Pro,6,256,Silver,99,40700,No
iPhone 13 Pro Max,6,256,Gold,90,38300,No
iPhone 6s,2,64,Rose Gold,94,4500,Unknown
iPhone 14 Pro Max,6,128,Deep Purple,83,39200,No
iPhone 15 Pro Max,8,256,White Titanium,86,53300,No
iPhone Air,12,1024,Sky Blue,89,63900,No
iPhone 12 Pro Max,6,512,Pacific Blue,86,30000,Yes
iPhone 13,4,512,Midnight,80,35600,Yes
iPhone 5,1,32,Black,80,2600,Yes
iPhone 17 Pro,12,256,Silver,86,71100,Unknown
iPhone 17e,8,256,White,91,45600,No
iPhone 13 mini,4,128,Red,80,15300,No
iPhone 5,1,64,White,81,1500,Unknown
iPhone 15,6,512,Black,98,50400,Yes
iPhone 12,4,256,Black,88,20100,Yes
iPhone 15,6,128,Black,99,38400,No
iPhone Air,12,512,Space Black,87,56700,No
iPhone 14 Plus,6,256,Blue,88,32300,Yes
iPhone 16,8,256,Pink,94,43800,No
iPhone 12 Pro,6,128,Pacific Blue,82,21300,Yes
iPhone 6s,2,16,Silver,92,8200,Unknown
iPhone XS Max,4,64,Silver,98,11000,No
iPhone SE (2nd gen),3,128,Black,72,6700,Unknown
iPhone 6,1,64,Space Gray,95,3100,Unknown
iPhone 15,6,128,Black,97,37300,No
iPhone 12,4,64,White,98,13700,Yes
iPhone Air,12,512,Space Black,95,61300,No
iPhone 17e,8,256,White,81,46600,No
iPhone 17 Pro Max,12,1024,Silver,96,94400,Unknown
iPhone Air,12,1024,Light Gold,81,62200,No
iPhone SE (2nd gen),3,128,White,92,9100,Yes
iPhone XS,4,64,Space Gray,71,4100,No
iPhone 17 Pro,12,1024,Cosmic Orange,71,81400,No
iPhone 13 mini,4,128,Green,80,14100,No
iPhone 6,1,64,Silver,78,1500,No
iPhone 15 Pro Max,8,256,Black Titanium,84,53600,Yes
iPhone 11,4,128,White,87,12700,No
iPhone XR,3,128,Black,79,7300,No
iPhone 15,6,128,Yellow,97,31800,No
iPhone 16 Plus,8,128,Teal,74,45800,Yes
iPhone 14,6,128,Starlight,85,34900,No
iPhone 7 Plus,3,128,Silver,70,1500,No
iPhone 12,4,64,White,87,13400,No
iPhone 16e,8,128,Black,93,36600,No
iPhone 17e,8,256,White,82,44400,Unknown
iPhone 8 Plus,3,128,Silver,90,6300,No
iPhone 16,8,256,Pink,96,48000,No
iPhone SE (2nd gen),3,256,White,77,12100,No
iPhone 16e,8,256,Black,84,38000,Unknown
iPhone 14 Plus,6,512,Midnight,98,44400,No
iPhone 6s Plus,2,64,Space Gray,85,2100,Unknown
iPhone 12,4,64,Black,77,9600,No
iPhone 17 Pro,12,1024,Cosmic Orange,70,79200,No
iPhone 8 Plus,3,128,Gold,87,8200,No
iPhone 16 Pro,8,512,Black Titanium,88,63700,No
iPhone 16e,8,256,Black,81,37800,No
iPhone 6 Plus,1,128,Space Gray,81,1500,No
iPhone XS Max,4,64,Space Gray,100,14200,No
iPhone 7,2,32,Black,79,3500,No
iPhone 17 Pro Max,12,512,Silver,85,85900,Yes
iPhone 12 Pro,6,256,Graphite,84,25400,Yes
iPhone 12 Pro,6,128,Silver,91,24200,Unknown
iPhone 5s,1,64,Gold,98,4100,No
iPhone 11 Pro Max,4,64,Midnight Green,73,10300,No
iPhone 14 Pro,6,512,Silver,96,41000,Yes
iPhone 15 Plus,6,256,Blue,81,41100,No
iPhone 5,1,16,Black,97,6500,Unknown
iPhone 15 Pro Max,8,256,Blue Titanium,94,55400,No
iPhone SE (2nd gen),3,128,Red,73,5800,No
iPhone 6 Plus,1,128,Silver,94,5400,No
iPhone 5,1,16,Black,90,6300,No
iPhone XS,4,256,Silver,78,11500,Unknown
iPhone 16 Pro,8,512,White Titanium,95,61600,No
iPhone 15 Pro Max,8,512,Blue Titanium,89,58900,No
iPhone 12 Pro,6,256,Silver,93,25200,No
iPhone 14 Pro Max,6,128,Gold,96,41000,No
iPhone 7 Plus,3,128,Black,90,10200,No
iPhone 14 Pro,6,512,Silver,88,41600,No
iPhone 12,4,64,White,90,10900,No
iPhone 17 Pro Max,12,1024,Silver,95,97500,No
iPhone 5s,1,16,Space Gray,76,1800,No
iPhone 16e,8,128,Black,92,36000,Unknown
iPhone 5s,1,16,Space Gray,79,1500,No
iPhone XS,4,64,Space Gray,87,5500,Yes
iPhone 15 Pro Max,8,256,Blue Titanium,96,58400,No
iPhone 8,2,256,Space Gray,95,14300,No
iPhone 15 Pro Max,8,256,Blue Titanium,92,54300,No
iPhone 8 Plus,3,256,Silver,86,9900,No
iPhone 16 Pro Max,8,256,Natural Titanium,73,62600,No
iPhone SE (2nd gen),3,128,Red,91,8100,Unknown
iPhone 11,4,128,White,85,12800,Unknown
iPhone 13,4,128,Midnight,95,21900,No
iPhone 5,1,32,White,95,9300,Unknown
iPhone Air,12,512,Space Black,92,58600,No
iPhone 12 Pro,6,256,Silver,87,24900,Yes
iPhone 6s Plus,2,16,Rose Gold,86,6500,No
iPhone 7,2,128,Jet Black,81,6300,No
iPhone X,3,64,Silver,77,8000,Unknown
iPhone 14 Plus,6,512,Midnight,95,43000,Yes
iPhone 14,6,128,Midnight,97,28400,No
iPhone 12 Pro Max,6,256,Graphite,81,29100,No
iPhone 12 Pro,6,256,Pacific Blue,87,20600,No
iPhone 6s,2,32,Silver,91,5800,Yes
iPhone 5,1,32,Black,88,3100,No
iPhone 8 Plus,3,64,Red,100,6200,Unknown
iPhone 16 Plus,8,512,Teal,84,49300,No
iPhone 16,8,512,Teal,81,47600,No
iPhone 12 mini,4,256,Blue,89,16600,No
iPhone XR,3,64,Coral,86,7300,No
iPhone 6,1,32,Gold,81,1600,No
iPhone 14,6,128,Purple,91,35600,No
iPhone 12 Pro,6,256,Graphite,71,24300,Yes
iPhone 15 Pro Max,8,1024,Blue Titanium,84,64700,No
iPhone 13,4,128,Starlight,81,17700,No
iPhone 14 Pro,6,512,Silver,79,42600,Unknown
iPhone 14 Pro Max,6,1024,Deep Purple,87,59600,Yes
iPhone 12 Pro,6,128,Silver,91,19700,Unknown
iPhone 5s,1,16,Gold,79,1700,No
iPhone 15,6,512,Green,100,52400,Yes
iPhone 16 Pro Max,8,256,Natural Titanium,75,59100,Yes
iPhone 8,2,256,Space Gray,80,12300,Unknown
iPhone 14,6,512,Midnight,98,35500,No
iPhone 13,4,128,Starlight,81,18000,No
iPhone Air,12,1024,Light Gold,82,66500,No
iPhone 15 Pro,8,256,White Titanium,80,49800,Yes
iPhone SE (2nd gen),3,128,Red,94,8500,Unknown
iPhone 15,6,128,Black,98,38400,No
iPhone 8,2,128,Red,85,8000,Yes
iPhone XR,3,64,White,79,8500,Unknown
iPhone 6s,2,16,Silver,87,4500,No
iPhone 5s,1,16,Silver,84,1500,No
iPhone 12 mini,4,128,Purple,85,9300,No
iPhone 17e,8,256,Black,79,40800,Unknown
iPhone 15,6,128,Yellow,85,33400,No
iPhone 15,6,128,Black,90,35300,No
iPhone 7 Plus,3,32,Red,82,7400,No
iPhone 6s Plus,2,16,Rose Gold,95,6600,Yes
iPhone 17,8,256,White,77,52100,No
iPhone 11 Pro,4,256,Gold,82,14500,Yes
iPhone 16,8,128,Black,89,44000,No
iPhone 13 Pro,6,128,Gold,95,25100,Unknown
iPhone 17 Pro Max,12,256,Cosmic Orange,77,74200,No
iPhone 15 Pro,8,128,Black Titanium,78,40300,No
iPhone 17 Pro,12,256,Deep Blue,74,67600,No
iPhone 14,6,512,Midnight,92,40000,No
iPhone 16 Plus,8,256,Black,81,46900,Unknown
iPhone 16 Pro Max,8,1024,White Titanium,79,76300,Yes
iPhone 15,6,128,Blue,86,26300,No
iPhone X,3,64,Silver,91,9700,No
iPhone 12 mini,4,128,Red,93,14400,Yes
iPhone 17 Pro Max,12,512,Cosmic Orange,86,79300,Yes
iPhone 13 Pro,6,512,Sierra Blue,80,33900,No
iPhone XS Max,4,256,Silver,86,17100,Unknown
iPhone XS Max,4,256,Space Gray,82,14900,No
iPhone 17 Pro,12,256,Deep Blue,91,67700,No
iPhone 6,1,64,Gold,73,1500,No
iPhone 7,2,32,Black,89,2500,Unknown
iPhone 8,2,256,Space Gray,91,13700,Unknown
iPhone X,3,256,Black,75,6600,No
iPhone 17,8,512,Sage,74,58200,No
iPhone 7,2,256,Red,89,10600,Yes
iPhone 14,6,256,Midnight,94,30200,No
iPhone 7 Plus,3,256,Red,81,7500,No
iPhone 12 Pro,6,128,Pacific Blue,91,22000,Yes
iPhone 13 Pro,6,256,Sierra Blue,91,32900,No
iPhone 15,6,128,Black,100,40800,No
iPhone 14,6,512,Midnight,100,41500,No
iPhone 11,4,256,Black,89,15600,No
iPhone 13 Pro Max,6,256,Graphite,72,33900,No
iPhone 17 Pro,12,1024,Cosmic Orange,92,81900,Yes
iPhone 5c,1,8,Green,81,2700,Yes
iPhone 13 Pro,6,256,Sierra Blue,94,33700,Unknown
iPhone 11 Pro Max,4,512,Space Gray,93,26500,No
iPhone 7 Plus,3,128,Black,90,9500,No
iPhone 17 Pro,12,256,Deep Blue,86,65500,No
iPhone 13 Pro Max,6,256,Graphite,71,36600,Yes
iPhone 14 Pro Max,6,128,Space Black,79,35400,No
iPhone 5s,1,16,Space Gray,78,1500,No
iPhone SE (2nd gen),3,128,Red,94,9700,No
iPhone 14 Plus,6,256,Blue,72,30000,Unknown
iPhone 5c,1,16,Yellow,76,1500,No
iPhone 12 Pro Max,6,128,Silver,74,23600,No
iPhone 11 Pro Max,4,64,Space Gray,87,18300,No
iPhone X,3,64,Space Gray,81,5700,No
iPhone 13 mini,4,256,Red,93,19900,No
iPhone 13,4,128,Starlight,78,16300,Unknown
iPhone 15 Pro,8,256,White Titanium,73,42400,No
iPhone X,3,64,Silver,86,4400,No
iPhone 7 Plus,3,32,Black,89,4600,Unknown
iPhone 14 Plus,6,128,Starlight,86,28100,No
iPhone 5,1,64,White,84,2900,No
iPhone 12 Pro,6,128,Pacific Blue,84,20200,Unknown
iPhone 17 Pro Max,12,256,Cosmic Orange,72,74900,No
iPhone 17e,8,512,Black,80,49500,Unknown
iPhone 11,4,64,Purple,77,6900,No
iPhone 7 Plus,3,32,Red,87,7500,Yes
iPhone XS Max,4,64,Gold,83,10800,Unknown
iPhone 12 Pro Max,6,512,Pacific Blue,81,32800,No
iPhone XR,3,64,Coral,100,8200,Yes
iPhone 7 Plus,3,128,Silver,90,4500,No
iPhone XR,3,64,Yellow,83,9800,Yes
iPhone 6s Plus,2,64,Space Gray,95,4300,No
iPhone Air,12,512,Space Black,72,54700,No
iPhone 7 Plus,3,32,Black,91,3800,No
iPhone 11 Pro Max,4,256,Space Gray,76,17900,No
iPhone XR,3,64,White,70,2500,Yes
iPhone 11,4,256,Black,81,15100,No
iPhone 5c,1,32,Pink,89,6900,No
iPhone 5,1,16,Black,87,5100,No
iPhone 6 Plus,1,16,Gold,88,6500,No
iPhone 13 mini,4,512,Green,84,28100,Yes
iPhone 17 Pro,12,256,Deep Blue,85,66600,Unknown
iPhone 6s Plus,2,64,Space Gray,87,3200,Yes
iPhone 7 Plus,3,256,Silver,91,15300,No
iPhone 13 Pro,6,128,Gold,97,23300,Yes
iPhone XS Max,4,256,Space Gray,83,15500,Unknown
iPhone 15 Plus,6,256,Black,97,45100,Yes
iPhone 17 Pro Max,12,512,Cosmic Orange,89,82500,Yes
iPhone 6 Plus,1,128,Silver,77,4200,No
iPhone 6s Plus,2,16,Gold,86,2200,No
iPhone 15 Pro Max,8,256,White Titanium,73,49100,Unknown
iPhone 13 mini,4,256,Pink,99,21900,Unknown
iPhone 17 Pro Max,12,512,Deep Blue,78,83300,Unknown
iPhone 12 Pro,6,256,Graphite,79,23700,No
iPhone 16 Plus,8,128,Pink,100,47300,Yes
iPhone 16 Pro Max,8,1024,White Titanium,85,78400,No
iPhone Air,12,256,Light Gold,82,53100,No
iPhone 5s,1,32,Gold,78,1500,No
iPhone X,3,256,Black,84,7000,Unknown
iPhone 16 Pro Max,8,256,Natural Titanium,83,61500,No
iPhone 14 Pro Max,6,128,Space Black,83,39400,Unknown
iPhone 14 Pro Max,6,1024,Deep Purple,77,58600,Unknown
iPhone 15 Pro,8,1024,White Titanium,100,60300,No
iPhone 8,2,256,Space Gray,96,10500,No
iPhone 11 Pro Max,4,256,Space Gray,92,24000,No
iPhone 15 Plus,6,256,Black,100,45300,Unknown
iPhone X,3,64,Silver,75,4800,Unknown
iPhone 12 Pro,6,128,Pacific Blue,93,21700,No
iPhone 11 Pro,4,64,Silver,82,11400,No
iPhone XS,4,256,Gold,80,14000,Yes
iPhone 5c,1,8,Green,84,2200,No
iPhone 13,4,128,Blue,83,15600,Unknown
iPhone 6 Plus,1,128,Silver,80,2900,No
iPhone X,3,64,Silver,90,7500,No
iPhone 8 Plus,3,256,Space Gray,79,10300,Yes
iPhone 12 Pro Max,6,512,Pacific Blue,72,29700,No
iPhone 14 Pro Max,6,256,Deep Purple,92,49600,Unknown
iPhone 17 Pro,12,1024,Cosmic Orange,86,84600,No
iPhone 14,6,512,Starlight,95,38900,No
iPhone 13 Pro,6,512,Sierra Blue,85,35300,Yes
iPhone X,3,64,Silver,82,8100,Yes
iPhone 8,2,128,Red,70,1500,Yes
iPhone 15,6,128,Black,91,38000,No
iPhone 7,2,256,Silver,82,10500,Unknown
iPhone 16 Pro,8,512,Desert Titanium,74,60000,Unknown
iPhone 5,1,16,Black,99,7400,Unknown
iPhone 14 Pro,6,512,Gold,100,42400,Unknown
iPhone 16,8,512,Black,75,51200,Yes
iPhone 8,2,256,Space Gray,95,11200,No
iPhone 15 Pro,8,256,Blue Titanium,86,50800,Yes
iPhone 8 Plus,3,256,Silver,90,12700,Unknown
iPhone 7 Plus,3,32,Gold,85,5600,Yes
iPhone SE (2nd gen),3,256,White,81,11200,Yes
iPhone 6 Plus,1,128,Silver,89,3700,Unknown
iPhone 8 Plus,3,64,Red,97,6500,No
iPhone X,3,256,Silver,86,10500,No
iPhone 15 Pro Max,8,1024,White Titanium,86,68000,No
iPhone XS,4,256,Gold,85,12300,No
iPhone 6s Plus,2,64,Rose Gold,97,5600,No
iPhone 17 Pro Max,12,2048,Deep Blue,82,100500,No
iPhone SE (2nd gen),3,128,Black,83,8500,No
iPhone 17e,8,512,White,73,46800,No
iPhone 11 Pro Max,4,256,Gold,89,21300,No
iPhone 7 Plus,3,32,Jet Black,80,3500,Unknown
iPhone 6,1,32,Gold,84,3200,Unknown
iPhone 14 Pro,6,128,Gold,70,22600,No
iPhone 17,8,256,White,79,54800,Unknown
iPhone 7,2,128,Jet Black,85,2500,No
iPhone 8,2,256,Space Gray,95,14300,No
iPhone XS,4,256,Silver,77,8700,Unknown
iPhone 5s,1,16,Gold,94,2300,No
iPhone Air,12,256,Light Gold,82,54400,Yes
iPhone 8,2,128,Space Gray,88,5500,Yes
iPhone 6s Plus,2,64,Space Gray,86,2300,No
iPhone 16,8,128,White,91,41900,Yes
iPhone 14 Pro,6,256,Space Black,90,38100,No
iPhone 5c,1,16,Blue,96,3700,Unknown
iPhone XS,4,64,Space Gray,89,4800,Unknown
iPhone 8,2,128,Red,93,8300,Yes
iPhone 11,4,128,White,87,14100,Unknown
iPhone 5,1,32,Black,80,1500,Unknown
iPhone 6s Plus,2,32,Space Gray,96,5300,No
iPhone 15 Pro Max,8,1024,White Titanium,91,61200,No
iPhone 15 Pro Max,8,1024,White Titanium,89,65000,Yes
iPhone 17 Pro,12,256,Deep Blue,88,68700,Unknown
iPhone 11,4,256,Black,84,16100,Yes
iPhone XS Max,4,256,Silver,88,17900,Yes
iPhone 15 Pro,8,512,Natural Titanium,88,60500,Unknown
iPhone 12,4,128,Blue,96,18200,Unknown
iPhone 11 Pro,4,512,Midnight Green,90,27300,No
iPhone X,3,64,Silver,86,7200,Yes
iPhone 6s,2,16,Silver,91,3800,Yes
iPhone 13 Pro Max,6,256,Alpine Green,86,39300,No
iPhone 8 Plus,3,128,Space Gray,75,5700,No
iPhone 6s Plus,2,32,Silver,75,1800,Unknown
iPhone 8,2,128,Red,70,1500,No
iPhone 6 Plus,1,128,Silver,93,4200,Unknown
iPhone 6s,2,64,Gold,82,1500,No
iPhone 7,2,128,Rose Gold,96,6500,Unknown
iPhone 16 Pro,8,1024,Desert Titanium,97,75600,Yes
iPhone XR,3,64,Coral,89,9100,No
iPhone 7,2,256,Silver,87,9100,No
iPhone 17e,8,512,White,95,52800,No
iPhone 17e,8,512,White,88,53600,Yes
iPhone 7,2,128,Red,79,1500,No
iPhone 13 Pro Max,6,128,Graphite,76,28600,No
iPhone 11 Pro Max,4,256,Space Gray,91,20700,No
iPhone 15 Pro,8,1024,Blue Titanium,84,61900,No
iPhone XR,3,64,Coral,82,6700,No
iPhone 16e,8,128,Black,91,40800,Yes
iPhone 8,2,256,Space Gray,77,12000,No
iPhone 16 Plus,8,512,Ultramarine,91,56500,No
iPhone 17 Pro Max,12,2048,Deep Blue,79,100400,Yes
iPhone 8 Plus,3,256,Space Gray,81,9500,Unknown
iPhone 17 Pro Max,12,1024,Cosmic Orange,78,89200,Yes
iPhone XS,4,256,Gold,84,12800,No
iPhone 15 Pro Max,8,1024,White Titanium,95,71300,Unknown
iPhone 14,6,128,Starlight,95,32600,Yes
iPhone 5s,1,64,Gold,78,1500,Yes
iPhone 13 mini,4,512,Starlight,76,25400,Unknown
iPhone XR,3,64,Red,92,7700,Yes
iPhone 15 Plus,6,256,Blue,80,43300,Yes
iPhone 11 Pro,4,256,Midnight Green,83,21600,Yes
iPhone XS Max,4,64,Space Gray,87,10400,No
iPhone 16 Plus,8,512,Ultramarine,88,58600,Yes
iPhone 14 Plus,6,256,Blue,84,31200,Yes
iPhone Air,12,1024,Light Gold,92,71900,Yes
iPhone XS Max,4,64,Space Gray,93,10400,No
iPhone 11 Pro Max,4,64,Midnight Green,82,16100,No
iPhone 5,1,16,Black,92,6100,Yes
iPhone 17,8,256,Sage,83,57300,No
iPhone 16 Pro,8,512,Black Titanium,92,61700,Unknown
iPhone 17e,8,512,White,90,48200,No
iPhone 5s,1,32,Gold,90,2300,Unknown
iPhone 11,4,256,Black,84,17000,No
iPhone X,3,64,Silver,80,4700,Yes
iPhone 12,4,128,Blue,88,11900,Unknown
iPhone 12 mini,4,256,Red,88,18900,No
iPhone 8,2,128,Space Gray,87,4900,Yes
iPhone 11 Pro,4,256,Gold,82,16400,Yes
iPhone 16 Plus,8,512,Ultramarine,99,56600,Unknown
iPhone 17 Pro Max,12,1024,Silver,89,93700,No
iPhone Air,12,512,Space Black,84,57100,Yes
iPhone 11 Pro,4,256,Gold,82,15200,No
iPhone 15 Pro Max,8,1024,White Titanium,94,68500,Yes
iPhone 12,4,64,Black,91,11700,No
iPhone Air,12,1024,Light Gold,89,69800,No
iPhone 6 Plus,1,16,Gold,78,1500,No
iPhone 16 Pro Max,8,256,Natural Titanium,98,67100,No
iPhone 14 Plus,6,512,Blue,78,35600,Unknown
iPhone 12 mini,4,128,Red,96,13500,No
iPhone 14,6,512,Midnight,100,35700,No
iPhone 17,8,512,Sage,86,62700,Yes
iPhone 7 Plus,3,32,Rose Gold,92,7700,Unknown
iPhone 11 Pro Max,4,256,Space Gray,78,18700,No
iPhone 17e,8,256,Black,88,49500,No
iPhone SE (2nd gen),3,128,Black,89,9700,Yes
iPhone Air,12,512,Cloud White,83,59000,No
iPhone 6,1,64,Silver,82,1500,Unknown
iPhone 12,4,64,White,95,13100,No
iPhone X,3,64,Silver,90,11500,Yes
iPhone 11 Pro Max,4,64,Midnight Green,86,16400,No
iPhone 13 mini,4,256,Red,92,21200,Yes
iPhone 8 Plus,3,128,Space Gray,72,4900,No
iPhone 7 Plus,3,128,Black,88,9000,Yes
iPhone 7 Plus,3,32,Gold,79,3900,Unknown
iPhone 13 Pro,6,256,Sierra Blue,89,32200,No
iPhone 8,2,128,Red,100,9800,No
iPhone 14 Pro Max,6,1024,Silver,94,62900,No
iPhone 8 Plus,3,64,Red,96,4000,No
iPhone XS,4,256,Gold,82,12300,No
iPhone 12,4,64,White,82,13000,No
iPhone 17 Pro Max,12,512,Silver,97,87200,Yes
iPhone 12 Pro Max,6,128,Gold,88,23100,No
iPhone 11,4,64,Purple,94,10500,Unknown
iPhone 7,2,256,Red,88,7500,No
iPhone 5,1,32,Black,86,2700,No
iPhone 17e,8,256,White,83,47600,No
iPhone 13 mini,4,128,Green,80,14100,No
iPhone 13 Pro,6,256,Sierra Blue,93,31900,Yes
iPhone 5,1,32,White,97,4300,No
iPhone 6s,2,64,Rose Gold,89,4700,No
iPhone 5,1,32,Black,78,1500,No
iPhone 12,4,64,White,99,13100,Yes
iPhone 12 Pro Max,6,512,Gold,81,29600,No
iPhone 17 Pro Max,12,256,Cosmic Orange,70,78500,No
iPhone 12 mini,4,64,Blue,88,10300,No
iPhone X,3,64,Silver,92,10100,Yes
iPhone 6s Plus,2,64,Space Gray,83,1500,No
iPhone Air,12,512,Space Black,70,55300,No
iPhone 16 Pro Max,8,1024,White Titanium,87,75100,No
iPhone 17,8,256,Lavender,85,56700,Yes
iPhone 14,6,128,Midnight,86,24100,No
iPhone XR,3,64,Red,92,7200,No
iPhone 13 Pro,6,256,Sierra Blue,97,30000,No
iPhone XR,3,64,Yellow,84,9400,Unknown
iPhone 16 Pro,8,512,Black Titanium,87,59800,Unknown
iPhone 17 Pro,12,1024,Cosmic Orange,75,84400,Unknown
iPhone 7,2,128,Black,95,8000,Yes
iPhone 16,8,128,White,95,42200,No
iPhone 16 Pro,8,512,White Titanium,100,62200,No
iPhone SE (2nd gen),3,128,Red,87,8300,No
iPhone XR,3,128,Black,91,8700,No
iPhone X,3,64,Silver,77,5800,Yes
iPhone 6s Plus,2,32,Silver,85,3100,No
iPhone 13 Pro,6,256,Sierra Blue,100,31400,No
iPhone 15 Pro Max,8,1024,White Titanium,87,61900,Yes
iPhone 12 Pro Max,6,512,Gold,79,29300,No
iPhone Air,12,1024,Sky Blue,92,65600,Yes
iPhone 13 Pro Max,6,128,Graphite,100,36800,No
iPhone 16 Plus,8,256,Pink,95,54900,No
iPhone 6s,2,128,Gold,90,4700,Unknown
iPhone 17,8,256,Lavender,82,57200,Yes
iPhone 13 Pro Max,6,128,Alpine Green,89,33300,Yes
iPhone SE (2nd gen),3,256,White,82,11800,No
iPhone 13 mini,4,128,Blue,97,21800,Yes
iPhone 11 Pro,4,256,Gold,80,15300,No
iPhone XS Max,4,64,Space Gray,85,9300,Unknown
iPhone 7,2,32,Black,76,3000,No
iPhone 15 Plus,6,128,Yellow,80,36700,No
iPhone 13 mini,4,128,Green,79,14600,Unknown
iPhone 6,1,32,Gold,90,3100,Unknown
iPhone Air,12,256,Space Black,97,58800,No
iPhone 14,6,128,Blue,94,30400,No
iPhone 11,4,64,Red,84,9600,Yes
iPhone 17,8,256,Lavender,79,57100,Unknown
iPhone XS Max,4,64,Gold,72,8000,Yes
iPhone 5,1,32,Black,78,1500,No
iPhone 16 Pro Max,8,1024,White Titanium,75,72400,Unknown
iPhone 14 Pro Max,6,1024,Deep Purple,78,58700,No
iPhone 14 Plus,6,128,Starlight,86,24000,No
iPhone 14 Pro,6,512,Deep Purple,95,43900,No
iPhone 15 Pro,8,256,White Titanium,88,45900,Unknown
